state,bill_name,bill_summary,status,bill_url,lastAction_date,lastAction_main
NE,LB261,Require use of redistricting maps drawn using state-issued computer software,Intro,https://legiscan.com/NE/bill/LB261/2019,2019-02-06,To Legislature Executive Board Committee
WA,HB1494,Aligning statutory redistricting deadlines to the Constitution.,Intro,https://legiscan.com/WA/bill/HB1494/2019,2019-03-21,To House Rules Committee
SD,HB1136,Repeal provisions regarding legislative districts.,Intro,https://legiscan.com/SD/bill/HB1136/2019,2019-02-20,"State Affairs Tabled, Passed, YEAS 7, NAYS 4. H.J. 458"
MN,SF47,Metropolitan council gubernatorial appointees local approval requirement; local governments removal of council member procedures authorization ,Intro,https://legiscan.com/MN/bill/SF47/2019,2019-03-14,Second reading
IL,HB0045,"Amends the Election Code. Provides that a person must be 17 years of age or older (currently, 18 years of age or older) to circulate petitions for nomination.",Intro,https://legiscan.com/IL/bill/HB0045/2019,2019-03-29,To House Rules Committee
GA,SR67,"A RESOLUTION recognizing Senator William ""Bill"" S. Jackson and dedicating an interchange in his honor; and for other purposes.",Enroll,https://legiscan.com/GA/bill/SR67/2019,2019-04-09,Senate Sent to Governor
MO,HJR48,"Proposes constitutional amendments relating to lobbying, redistricting, and the sunshine law",Intro,https://legiscan.com/MO/bill/HJR48/2019,2019-04-17,Reported Do Pass (H) - AYES: 6 NOES: 2 PRESENT: 0
CA,AB1829,Elections.,Intro,https://legiscan.com/CA/bill/AB1829/2019,2019-04-01,To Assembly Elections and Redistricting Committee
MO,SJR29,Modifies provisions regulating the legislature to limit the influence of partisan or other special interests,Intro,https://legiscan.com/MO/bill/SJR29/2019,2019-03-14,"To Senate Rules, Joint Rules, Resolutions & Ethics Committee"
IL,HB3114,Amends the Election Code. Requires the State Board of Elections to create a pilot program to allow petition signatures to be gathered electronically. Provides that a statement of candidacy shall include a space for a candidate to include his or her t...,Intro,https://legiscan.com/IL/bill/HB3114/2019,2019-03-29,To House Rules Committee
IL,SB2083,Amends the Election Code. Requires the State Board of Elections to create a pilot program to allow petition signatures to be gathered electronically. Provides that a statement of candidacy shall include a space for a candidate to include his or her t...,Intro,https://legiscan.com/IL/bill/SB2083/2019,2019-03-28,To Senate Assignments Committee
MS,HR133,"A Resolution Commending The Distinguished And Laudable Legislative Career Of Former Representative, The Honorable Adrienne Wooten And Congratulating Her Upon Being Elected To The Bench As Circuit Court Judge Of District 7, Place 1, Hinds County, Miss...",Pass,https://legiscan.com/MS/bill/HR133/2019,2019-03-25,Enrolled Bill Signed
MD,HB1409,Altering the amount of the school facilities surcharge in Howard County for certain types of residential construction; authorizing the County Council of Howard County to enact a local law providing for the annual alteration of the amount of the schoo...,Enroll,https://legiscan.com/MD/bill/HB1409/2019,2019-04-08,Returned Passed
VA,SB323,Virginia Independent Redistricting Review Commission; split precincts. Establishes the seven-member Virginia Independent Redistricting Review Commission for the purpose of reviewing redistricting plans adopted by the General Assembly to ensure that p...,Intro,https://legiscan.com/VA/bill/SB323/2019,2018-11-30,To Senate Privileges and Elections Committee
VA,HJR642,Constitutional amendment (first resolution); Virginia Redistricting Commission; shortest split methodology. Establishes the seven-member Virginia Redistricting Commission to redraw congressional and General Assembly district boundaries after each dec...,Intro,https://legiscan.com/VA/bill/HJR642/2019,2019-02-05,To House Privileges and Elections Committee
TX,HJR57,Proposing a constitutional amendment to set the salaries of members of the legislature and the lieutenant governor based on the average public school teacher salary in this state.,Intro,https://legiscan.com/TX/bill/HJR57/2019,2019-02-25,To House State Affairs Committee
NM,SB509,Regional Water Utility Authority Act,Intro,https://legiscan.com/NM/bill/SB509/2019,2019-02-08,Action Postponed Indefinitely
US,HB4,Voting Rights Advancement Act of 2019,Intro,https://legiscan.com/US/bill/HB4/2019,2019-03-25,"To House Subcommittee on the Constitution, Civil Rights, and Civil Justice Committee"
WA,HB1091,Making technical corrections and removing obsolete language from the Revised Code of Washington pursuant to RCW 1.08.025.,Enroll,https://legiscan.com/WA/bill/HB1091/2019,2019-04-16,Delivered to Governor.
MS,HB927,"An Act To Amend Section 23-15-49, Mississippi Code Of 1972, To Authorize Online Voter Registration For First-time Voters; To Amend Sections 23-15-13, 23-15-35, 23-15-37, 23-15-39, 23-15-41 And 23-15-79, Mississippi Code Of 1972, To Conform To The Pro...",Fail,https://legiscan.com/MS/bill/HB927/2019,2019-02-05,Died In Committee
MS,HB690,"An Act To Amend Section 23-15-49, Mississippi Code Of 1972, To Authorize Online Voter Registration For First-time Voters; To Amend Sections 23-15-13, 23-15-35, 23-15-37, 23-15-39, 23-15-41 And 23-15-79, Mississippi Code Of 1972, To Conform To The Pro...",Fail,https://legiscan.com/MS/bill/HB690/2019,2019-02-05,Died In Committee
MS,HB1028,"An Act To Amend Section 23-15-49, Mississippi Code Of 1972, To Authorize Online Voter Registration For First-time Voters; To Amend Sections 23-15-13, 23-15-35, 23-15-37, 23-15-39, 23-15-41 And 23-15-79, Mississippi Code Of 1972, To Conform To The Pro...",Fail,https://legiscan.com/MS/bill/HB1028/2019,2019-02-05,Died In Committee
